,CreatedTime,Bp
433,0911.19:01:48.497546573,104.61281446541
434,0911.19:01:48.498925474,71.802279874214
435,0911.19:01:48.49941416,89.105738993711
436,0911.19:01:49.520499962,89.838836477987
437,0911.19:01:49.521329647,70.414701257862
438,0911.19:01:49.522396236,110.90801886792
439,0911.19:01:49.523549848,62.551100628931
440,0911.19:01:50.547389003,113.52594339623
441,0911.19:01:50.548485475,62.627751572327
442,0911.19:01:50.549547745,102.98152515723
443,0911.19:01:50.550595778,67.574685534591
444,0911.19:01:51.570373529,87.104952830189
445,0911.19:01:51.572860715,81.910377358491
446,0911.19:01:51.57289726,67.613993710692
447,0911.19:01:51.573549173,101.3679245283
448,0911.19:01:52.594372029,58.233097484277
449,0911.19:01:52.595286118,107.34080188679
450,0911.19:01:52.59635807,57.948113207547
451,0911.19:01:52.596853144,105.64661949686
452,0911.19:01:53.619981725,65.868710691824
453,0911.19:01:53.62108177,99.557783018868
454,0911.19:01:53.629864263,72.382075471698
455,0911.19:01:53.630663603,85.210298742138
456,0911.19:01:54.645554892,86.676493710692
457,0911.19:01:54.646483929,62.036163522013
458,0911.19:01:54.647186468,104.98427672956
459,0911.19:01:54.647210926,56.212657232704
460,0911.19:01:55.674470626,103.78144654088
461,0911.19:01:55.675022241,62.954009433962
462,0911.19:01:55.675814316,100.26533018868
463,0911.19:01:55.675840309,74.123427672956
464,0911.19:01:56.698629696,87.706367924528
465,0911.19:01:56.698647525,89.341588050314
466,0911.19:01:56.698663931,68.612421383648
467,0911.19:01:56.698679829,103.71658805031
468,0911.19:01:57.717248377,63.816823899371
469,0911.19:01:57.718180149,106.1340408805
470,0911.19:01:57.719584078,69.781839622642
471,0911.19:01:57.719619037,85.990566037736
472,0911.19:01:58.743156704,89.502751572327
473,0911.19:01:58.74436915,61.077044025157
474,0911.19:01:58.744595369,58.380503144654
475,0911.19:01:58.744613196,102.19929245283
476,0911.19:01:59.767569525,60.811713836478
477,0911.19:01:59.7675879,55.835298742138
478,0911.19:01:59.76831252,96.479952830189
479,0911.19:01:59.76932871,69.207940251572
480,0911.19:02:00.798924397,64.500786163522
481,0911.19:02:00.800512946,100.46187106918
482,0911.19:02:00.800548398,75.64072327044
483,0911.19:02:00.800572426,68.081761006289
484,0911.19:02:01.816993063,95.976808176101
485,0911.19:02:01.818105257,71.365959119497
486,0911.19:02:01.818140109,65.499213836478
487,0911.19:02:01.820237294,93.005110062893
488,0911.19:02:02.847499278,71.232311320755
489,0911.19:02:02.848957568,75.363600628931
490,0911.19:02:02.848985823,92.906839622642
491,0911.19:02:02.849001683,75.322327044025
492,0911.19:02:03.866488552,93.653694968553
493,0911.19:02:03.867174603,80.697720125786
494,0911.19:02:03.869680937,74.270833333333
495,0911.19:02:03.870713841,100.24960691824
496,0911.19:02:04.889052227,73.11713836478
497,0911.19:02:04.889613314,64.196147798742
498,0911.19:02:04.890285415,93.659591194969
499,0911.19:02:04.891127353,60.353773584906
500,0911.19:02:05.916365384,58.205581761006
501,0911.19:02:05.916397633,90.797955974843
502,0911.19:02:05.917344613,65.63679245283
503,0911.19:02:05.917369514,60.811713836478
504,0911.19:02:06.938446262,92.727987421384
505,0911.19:02:06.938485012,56.686320754717
506,0911.19:02:06.939029119,57.50393081761
507,0911.19:02:06.939307303,85.778301886792
508,0911.19:02:07.962634245,48.402122641509
509,0911.19:02:07.962882851,54.886006289308
510,0911.19:02:07.964594067,74.990172955975
511,0911.19:02:07.964858019,51.648977987421
512,0911.19:02:08.992004302,79.891902515723
513,0911.19:02:08.992278145,59.492924528302
514,0911.19:02:08.995118619,62.138364779874
515,0911.19:02:08.995556527,83.714622641509
516,0911.19:02:09.742397286,102.54716981132
517,0911.19:02:09.743295609,71.232311320755
518,0911.19:02:09.743324689,126.85731132075
519,0911.19:02:09.743804558,66.106525157233
520,0911.19:02:10.012685269,52.047955974843
521,0911.19:02:10.012967823,91.487814465409
522,0911.19:02:10.013615712,60.754716981132
523,0911.19:02:10.015876313,72.562893081761
524,0911.19:02:11.03734381,74.072327044025
525,0911.19:02:11.038194197,49.310141509434
526,0911.19:02:11.04303856,84.604952830189
527,0911.19:02:11.046814844,56.857311320755
528,0911.19:02:12.061711166,68.494496855346
529,0911.19:02:12.063929592,77.075471698113
